"Campaign","Payout Type","Publisher","Experiment IntelliBid","Impressions","Conversions","Conversions one day","Booked Revenue (INR)","Cost (INR)","ePPC (INR)","ePPA (INR)"
"","","rtbappnexus","A23","368.0","0.0","0.0","65.523552","7.1927751859999995","32.761776","Infinity"
"","","rtbtanx","A23","337.0","0.0","0.0","0.0","3.47226048","NaN","NaN"
"CN_Soufeel","CPC","rtbFB-XNF","A23","25.0","0.0","0.0","0.0","9.761849475","NaN","NaN"
"","","rtbFBX","A23","888.0","0.0","0.0","184.284975","65.47540293000002","30.7141625","Infinity"
"CN_Yoins","CPC","rtbFBX","A23","2.0","0.0","0.0","0.0","0.114885645","NaN","NaN"
"CN_Yougou","CPC","rtb-google-auto","A23","113465.0","18.0","18.0","18763.36191189","7351.665851088","15.41862284451561","1069.8811073777777"
"","","rtbbaidu","A23","212388.0","47.0","47.0","35638.19476741","12526.57841631","15.426497776073099","772.3095588744682"
"","","rtbtanx","A23","135405.0","46.0","46.0","25539.761187760003","7032.118908204","15.42785595195962","564.7936831108696"
"99Acres","CPA","rtbFB-XNF","A23","0.0","75.0","0.0","4125.0","0.0","Infinity","55.0"
"","","rtbFBX","A23","0.0","87.0","0.0","4785.0","0.0","Infinity","55.0"
"","","rtb-google-auto","A23","28.0","47.0","0.0","2585.0","0.0","2585.0","55.0"
"","","rtbappnexus","A23","0.0","13.0","0.0","715.0","0.0","Infinity","55.0"
"Caratlane","CPC","rtbFB-XNF","A23","13.0","0.0","0.0","0.0","1.206376185","NaN","NaN"
"","","rtbFBX","A23","301.0","0.0","0.0","52.0","11.120810295","13.0","Infinity"
"Flipkart","CPA","rtbFBX","A23","16926.0","8.0","8.0","1600.0","474.049059015","9.580838323353293","200.0"
"Healthkart","CPA","rtbFB-XNF","A23","20.0","0.0","0.0","0.0","2.9187440099999997","NaN","NaN"
"","","rtbFBX","A23","420.0","0.0","0.0","0.0","3.517496115","NaN","NaN"
"IND_Koovs_Jan2014","CPA","rtbFB-XNF","A23","65.0","0.0","0.0","0.0","13.911457035","0.0","NaN"
"","","rtbFBX","A23","864.0","0.0","0.0","0.0","41.48886945","0.0","NaN"
"IN_AskMeBazaar_Dec14","CPC","rtbFB-XNF","A23","0.0","1.0","0.0","0.0","0.0","NaN","0.0"
"","","rtbFBX","A23","0.0","1.0","0.0","0.0","0.0","NaN","0.0"
"IN_Autoportal_Feb15","CPC","rtbFB-XNF","A23","36.0","0.0","0.0","24.0","2.308627335","12.0","Infinity"
"","","rtbFBX","A23","130.0","0.0","0.0","0.0","2.1542502449999996","NaN","NaN"
"IN_BabyHugz_Apr15","CPC","rtb-rubicon","A23","13.0","0.0","0.0","60.0","0.51427548","12.0","Infinity"
"","","rtbpubmatc","A23","21.0","0.0","0.0","0.0","0.89616197","NaN","NaN"
"IN_Bigbasket","CPC","rtbFB-XNF","A23","122.0","0.0","0.0","18.0","2.72376153","9.0","Infinity"
"","","rtbFBX","A23","80151.0","177.0","6.0","1197.0","720.2482543200001","9.0","6.762711864406779"
"","","rtb-google-auto","A23","244735.0","120.0","42.0","6147.0","8922.889739192","9.0","51.225"
"","","rtb-rubicon","A23","42699.0","12.0","5.0","450.0","1355.6784156","9.0","37.5"
"","","rtbappnexus","A23","33293.0","63.0","14.0","1224.0","892.3685075579999","9.0","19.428571428571427"
"","","rtbpubmatc","A23","41101.0","10.0","3.0","657.0","1392.5074824100002","9.0","65.7"
